probe,gene,gsm,tumor,expression,mean,std,z_score
ILMN_1690278,dlec1,GSM4003551,MN,377.8292,293.4932917,76.72004713,1.099268203
ILMN_1690278,dlec1,GSM4003554,MN,364.1399,293.4932917,76.72004713,0.920836352
ILMN_1690278,dlec1,GSM4003617,MN,249.1516,293.4932917,76.72004713,-0.577967472
ILMN_1690278,dlec1,GSM4003751,MN,209.3672,293.4932917,76.72004713,-1.096533368
ILMN_1690278,dlec1,GSM4003753,MN,175.6263,293.4932917,76.72004713,-1.536325851
ILMN_1690278,dlec1,GSM4003754,MN,233.0533,293.4932917,76.72004713,-0.787799199
ILMN_1690278,dlec1,GSM4003757,MN,196.1469,293.4932917,76.72004713,-1.268852084
ILMN_1690278,dlec1,GSM4003791,MN,354.4187,293.4932917,76.72004713,0.794126315
ILMN_1690278,dlec1,GSM4003185,NN,390.175,328.71042,70.06543287,0.877245419
ILMN_1690278,dlec1,GSM4003357,NN,255.3798,328.71042,70.06543287,-1.046601969
ILMN_1690278,dlec1,GSM4003462,NN,394.0267,328.71042,70.06543287,0.932218318
ILMN_1690278,dlec1,GSM4003508,NN,350.9072,328.71042,70.06543287,0.316800726
ILMN_1690278,dlec1,GSM4003655,NN,253.0634,328.71042,70.06543287,-1.079662494
ILMN_1696521,egfr,GSM4003137,BN,239.4361,285.155365,162.7246318,-0.280960937
ILMN_1696521,egfr,GSM4003142,BN,243.7701,285.155365,162.7246318,-0.254326985
ILMN_1696521,egfr,GSM4003144,BN,248.909,285.155365,162.7246318,-0.22274664
ILMN_1696521,egfr,GSM4003215,BN,369.1152,285.155365,162.7246318,0.515962667
ILMN_1696521,egfr,GSM4003233,BN,273.1722,285.155365,162.7246318,-0.073640757
ILMN_1696521,egfr,GSM4003236,BN,348.2397,285.155365,162.7246318,0.387675389
ILMN_1696521,egfr,GSM4003285,BN,239.0065,285.155365,162.7246318,-0.28360098
ILMN_1696521,egfr,GSM4003291,BN,275.9648,285.155365,162.7246318,-0.056479249
ILMN_1696521,egfr,GSM4003301,BN,244.3942,285.155365,162.7246318,-0.250491671
ILMN_1696521,egfr,GSM4003303,BN,230.5797,285.155365,162.7246318,-0.335386625
ILMN_1696521,egfr,GSM4003317,BN,117.1087,285.155365,162.7246318,-1.032705763
ILMN_1696521,egfr,GSM4003320,BN,132.9189,285.155365,162.7246318,-0.935546532
ILMN_1696521,egfr,GSM4003324,BN,129.7537,285.155365,162.7246318,-0.954997798
ILMN_1696521,egfr,GSM4003326,BN,137.5746,285.155365,162.7246318,-0.906935621
ILMN_1696521,egfr,GSM4003378,BN,215.6403,285.155365,162.7246318,-0.427194483
ILMN_1696521,egfr,GSM4003380,BN,208.4746,285.155365,162.7246318,-0.471230226
ILMN_1696521,egfr,GSM4003385,BN,219.0376,285.155365,162.7246318,-0.406316882
ILMN_1696521,egfr,GSM4003392,BN,248.5099,285.155365,162.7246318,-0.22519925
ILMN_1696521,egfr,GSM4003418,BN,88.83634,285.155365,162.7246318,-1.206449342
ILMN_1696521,egfr,GSM4003423,BN,310.9803,285.155365,162.7246318,0.158703293
ILMN_1696521,egfr,GSM4003437,BN,91.61823,285.155365,162.7246318,-1.189353651
ILMN_1696521,egfr,GSM4003523,BN,367.1566,285.155365,162.7246318,0.503926382
